Berryworld Europe (ehemals Vitalberry);Schanseind 16;NL-4921 PM Made;Niederlande;70814;x;x;AF;"LEH Spezifikationen nur auf Anfrage
kein GRASP";"IFS Broker
COID: 37873";21.12.2017;;;;;4052852403115;1;22.11.2017;x;??;;BRC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Berry Packaging;Venrayseweg 102c;5928 Venlo;Niederlande;70822;;fehlt;YM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bivano;Marie Bernays Ring 39;41199 M򮣨engladbach;Deutschland;96127;;x;YM;kein GRASP;"IFS Cash&Carry
COID: 43326";02.01.2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Blaubeergarten GmbH;Hauptstr. 35;29690 Grethem;Deutschland;90396;x;x;AF;;"IFS Broker
COID: 31557";20.07.2018;x;29.06.2018;;;;;;;;GRASP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bloedbessen VOF;Achterstraat 3a;NL-4415 RP Asch;Niederlande;70783;x;x;YM;nicht an LEH;;;;;;;8717344160001;1;19.02.2018;;;GRASP (ab 16.01.2016);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Blueberry World (siehe Sunberry);Venrayseweg 106c;5928 RH Venlo;Niederlande;70809;;x;AF;nur ALDI;"IFS Food
COID: 15823";26.06.2018;x;01.08.2017;;;;;;x;31.12.2016;;BRC, Tesco, ISO 9001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bonduelle;Hubertusstraࠥ 2;47638 Straelen;Deutschland;70823;;x;MS;;"IFS Food
COID: 5443";03.01.2018;;;;;;;;;;;ISO 50001;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Burchard;Nordweg 42;29352 Adelheidsdorf;Deutschland;70828;;x;AF;kein  GRASP;;;;;;;4049929273276;1;04.12.2017;x;31.01.2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BQ Fruits;Av Lazaro Cardenas 3670;Zapopan Jalisco;Mexiko;;;x;CD;;;;;;;;;;;;;;Primus GFS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Br𣫥l Iris;Bockhorn 40;29664 Walsrode;Deutschland;70821;;x;AF;;;;x;18.10.2017;x;18.10.2017;4049928855640;3;18.10.2017;;;FIAS;Regionalfenster;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Carl Gottmannճ Handelmaatschappij;Zuideinde 61;NL-2991 LJ Barendrecht;Niederlande;74223;;x;AF;kein GRASP;"IFS Broker
COID: 35222";02.02.2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CarSol Europe;Bahialaan 100;3065 WC Rotterdam;Niederlande;71808;;x;RGT;;"IFS Broker
COID: 46385";18.12.2017;;;;;;;;x;??;;BRC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Castro Paiva & Gomes;Rua das Flores 50;4770-573 Cosme Vale;Portugal;78892;;x;MT;"LEH Spezifikationen fehlen
GRASP in Bearbeitung";;;;;;;4056186512055;;aktuell keine sichtbare Zertifizierung in Datenbank;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;4056186679413;1;19.06.2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Charlys Erdbeerhof;Am Friedhof 1;52428 J𬩣h-Broich;Deutschland;70722;x;x;AF;;;;x;26.06.2018;x;26.06.2018;4049928657244;3;26.06.2018;;;FIAS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Centro Sur;Carretera de la estacion sin;18360 Muetor;Spanien;71813;;x;RGT;;;;;    ;;;4049929972995;1;23.12.2017;;;GRASP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Combilo;Transportweg 23;2742 RH Waddinxveen;Niederlande;71430;;x;MS;;"IFS Broker
COID: 43082";19.01.2018;x;26.04.2018;;;;;;x;31.12.2018;;ISO 14001, BRC;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;"IFS Food
COID: 3583";19.01.2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Consurfrut;Eslida Nr. 7;46026 Valencia;Spanien;71811;;x;RGT;LEH Spezifikationen offen;"IFS Food
COID: 6994";30.12.2017;;;;;4049929046146;2;17.11.2017;x;30.04.2017;;ISO 9001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cordis Obst und Gem𳥻Feldberg 2;04749 Ostrau;Deutschland;71799;;x;AF;"nur an ALDI und EDEKA
GRASP auf Anfrage
keine Eigenmarken REWE";"IFS Food 
COID: 2118";31.07.2018;x;31.07.2019;;;;;;x;15.02.2018;meisten Erzeuger GRASP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cuna de Platero, S.C.A.;Camino de Montemayor;E-21800 Moguer;Spanien;71566;x;x;CD;;"IFS Food
COID: 36219";07.07.2018;;;;;4049929503571;2;28.05.2018;;;GRASP;BRC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D&G Fruchtagentur;Ziegelstr. 17;73230 Kirchheim/Teck;Deutschland;72152;x;x;MT;kein GRASP o.䡡;"IFS Broker
COID: 28224";18.09.2018;;;;;4049928599858;2;15.08.2018;;;;BRC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
de Groot;Drieselweg 23;5321 Hedel;Niederlande;74227;;x;MS;;"IFS Food
COID: 31966";18.04.2018;;;;;;;;x;31.12.2017;;Fairtrade, BRC, AEO, RIK;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dimitri Tsiriakis (𢥲 Alkyon);Palio 564;65500 Kavala;Griechenland;84705;siehe Alkyon;;MS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Driscolls of Europe;Bijster 26;NL-4817 HX Breda;Niederlande;72136;x ;x;MS;"nicht ALDI, EDEKA, Globus +
keine Angaben zu GRASP";"IFS Broker
COID: 30129";22.12.2017;;;;;"Losnummern auf jeweiligem Etikett beinhalten Erzeuger
Liste bei QM & Lager";;;;;;BRC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Edeka AG Fruchtkontor;Raiffeisenstr. 8;53332 Bornheim-Roisdorf;Deutschland;72817;x;x;AF;;"IFS Logistic
COID: 3699 ";01.07.2018;x;30.11.2017;;;;;;x;28.02.2017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;"IFS Broker
COID: 3699";30.06.2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
El Pilonar;ValVerde 42;21800 Moguer (Huelva);Spanien;80554;x;x;CD;;"IFS Food
COID: 39877";05.05.2018;;;;;4049929498891;2;10.03.2018;;;GRASP;BRC, TESCO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Elbe Obst;Industriestr. 2;21641 Apensen;Deutschland;80550;;x;MS;LEH Spezifikationen nur auf Anfrage;"IFS Cash&Carry/Wholesale
COID: 2579";26.10.2018;x;27.06.2017;;;;;;x;28.02.2018;;BRC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Elisa Berry;Magistralni put A 290 Maline;75270 ϩvinice;Bosnien-Herzegowina;72680;;x;MT;GRASP ab 25.07.2017;;;;;;;4052852917728;1;03.08.2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ELO Erzeugergrossmarkt-Langenf򲤥n;Lange Straࠥ 7;49377 Vechta Langenf򲤥n;Deutschland;72823;x;x;AF;;"IFS Cash und Carry
COID: 2111";27.07.2018;x;25.03.2018;;;;;;;;FIAS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Erasmio;;GR- 67200 Xanthis;Griechenland;72835;;x;AF;;;;;;;;4049928431387;2;13.03.2018;;;GRASP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Eurogroup Espana;Ronda Narciso Monturiol, 6;46980 Paterna (Valencia);Spanien;72855;;x;RGT;nur an REWE + kein GRASP;"IFS Broker
COID: 34760";23.12.2017;x;20.07.2018;;;;;;x;30.04.2017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Evrosspargel;Nea Vissa;68001;Griechenland;72806;;x;AF;LEH Spezifikationen offen;;;;;;;4049929011625;2;07.06.2018;;;;Agro 1, Agro 2, ISO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ewa Bis;Serwituty 25;02-2333 Warszawa;Polen;80556;;x;YM;"ALDI und EDEKA Spezifikationen nicht angekreuzt
KEIN Sozialmodul";;;;;;;4049928911353;2;15.12.2017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Expafruit;Estado 213 ;Curico;Chile;72859;x;x;RGT;;;;;;;;"4050373982829
4052852026161";"1
1";"04.01.2018
31.01.2018";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
